種類名,路線名(運行系統),路線副名称(運行系統),正式路線,事業者名(簡易),事業者名(id),事業者ごとの並び順,正式区間,運行系統,路線カラー,状態
鉄道,臼ノ浦線,,,,日本国有鉄道,57,1,1,,2
鉄道,山野線,,,,九州旅客鉄道株式会社,30,1,1,,2
鉄道,宮之城線,,,,日本国有鉄道,58,1,1,,2
鉄道,志布志線,,,,日本国有鉄道,59,1,1,,2
鉄道,大隅線,,,,日本国有鉄道,60,1,1,,2
鉄道,細島線,,,,日本国有鉄道,61,1,1,,2
鉄道,妻線,,,,日本国有鉄道,62,1,1,,2
鉄道,ふるさと銀河線,,,,北海道ちほく高原鉄道株式会社,1,1,1,,2
鉄道,黒石線,,,,弘南鉄道株式会社,3,1,1,,2
鉄道,大畑線,,,,下北交通株式会社,1,1,1,,2
鉄道,神岡線,,,,神岡鉄道株式会社,1,1,1,,2
鉄道,能登線,,,,のと鉄道株式会社,2,1,1,,2
鉄道,三木線,,,,三木鉄道株式会社,1,1,1,,2
鉄道,高千穂線,,,,高千穂鉄道株式会社,1,1,1,,2
