事業者区分
JR
大手私鉄
準大手私鉄
中小私鉄(北海道)
中小私鉄(東北)
中小私鉄(信越)
中小私鉄(北陸)
中小私鉄(関東)
中小私鉄(山梨・東海)
中小私鉄(関西)
中小私鉄(中国)
中小私鉄(四国)
中小私鉄(九州)
