種類名,路線名(id),路線名(id),路線区別名(id),路線事業者(id),事業者ごとの並び順,貨物,状態
鉄道,志布志線,志布志線,,日本国有鉄道,59,,2
鉄道,大隅線,大隅線,,日本国有鉄道,60,,2
鉄道,細島線,細島線,,日本国有鉄道,61,,2
鉄道,妻線,妻線,,日本国有鉄道,62,,2
鉄道,ふるさと銀河線,ふるさと銀河線,,北海道ちほく高原鉄道株式会社,1,,2
鉄道,黒石線,黒石線,,弘南鉄道株式会社,3,,2
鉄道,大畑線,大畑線,,下北交通株式会社,1,,2
鉄道,神岡線,神岡線,,神岡鉄道株式会社,1,,2
鉄道,能登線,能登線,,のと鉄道株式会社,2,,2
鉄道,三木線,三木線,,三木鉄道株式会社,1,,2
鉄道,高千穂線,高千穂線,,高千穂鉄道株式会社,1,,2
