種類名,駅グループ名,駅グループ事業者,駅グループ路線名,駅グループ路線区別名,駅グループ路線正式区間,駅グループ路線運行系統,駅グループの路線ごとの並び順,駅名,駅名(正式)[id],駅の路線の事業者[id],駅の路線[id],駅の路線区別名[id],駅の路線の事業者[id],路線名(運行系統)[id],路線区別名(運行系統)[id],路線[正式区間][id],路線[運行系統][id],ナンバリング接頭辞,路線記号,ナンバリングハイフン,駅番号,路線(運行系統)ごとの並び順,駅カラー
駅,,,,,,,,比羅夫,比羅夫,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,24,38,#E60012
駅,,,,,,,,倶知安,倶知安,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,23,39,#E60012
駅,,,,,,,,小沢,小沢,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,22,40,#E60012
駅,,,,,,,,銀山,銀山,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,21,41,#E60012
駅,,,,,,,,然別,然別,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,20,42,#E60012
駅,,,,,,,,仁木,仁木,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,19,43,#E60012
駅,,,,,,,,余市,余市,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,18,44,#E60012
駅,,,,,,,,蘭島,蘭島,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,17,45,#E60012
駅,,,,,,,,塩谷,塩谷,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,16,46,#E60012
駅,,,,,,,,小樽,小樽,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,15,47,#E60012
駅,,,,,,,,南小樽,南小樽,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,14,48,#E60012
駅,,,,,,,,小樽築港,小樽築港,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,13,49,#E60012
駅,,,,,,,,朝里,朝里,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,12,50,#E60012
駅,,,,,,,,銭函,銭函,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,11,51,#E60012
駅,,,,,,,,ほしみ,ほしみ,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,10,52,#E60012
駅,,,,,,,,星置,星置,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,9,53,#E60012
駅,,,,,,,,稲穂,稲穂,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,8,54,#E60012
駅,,,,,,,,手稲,手稲,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,7,55,#E60012
駅,,,,,,,,稲積公園,稲積公園,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,6,56,#E60012
駅,,,,,,,,発寒,発寒,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,5,57,#E60012
駅,,,,,,,,発寒中央,発寒中央,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,4,58,#E60012
駅,,,,,,,,琴似,琴似,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,3,59,#E60012
駅,,,,,,,,桑園,桑園,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,S,,2,60,#E60012
駅,,,,,,,,札幌,札幌,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,,,1,61,#312725
駅,,,,,,,,苗穂,苗穂,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,2,62,#0068B7
駅,,,,,,,,白石,白石,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,3,63,#0068B7
駅,,,,,,,,厚別,厚別,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,4,64,#F39700
駅,,,,,,,,森林公園,森林公園,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,5,65,#F39700
駅,,,,,,,,大麻,大麻,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,6,66,#F39700
駅,,,,,,,,野幌,野幌,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,7,67,#F39700
駅,,,,,,,,高砂,高砂,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,8,68,#F39700
駅,,,,,,,,江別,江別,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,9,69,#F39700
駅,,,,,,,,豊幌,豊幌,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,10,70,#F39700
駅,,,,,,,,幌向,幌向,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,11,71,#F39700
駅,,,,,,,,上幌向,上幌向,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,12,72,#F39700
駅,,,,,,,,岩見沢,岩見沢,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,13,73,#F39700
駅,,,,,,,,峰延,峰延,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,14,74,#F39700
駅,,,,,,,,光珠内,光珠内,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,15,75,#F39700
駅,,,,,,,,美唄,美唄,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,16,76,#F39700
駅,,,,,,,,茶志内,茶志内,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,17,77,#F39700
駅,,,,,,,,奈井江,奈井江,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,18,78,#F39700
駅,,,,,,,,豊沼,豊沼,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,19,79,#F39700
駅,,,,,,,,砂川,砂川,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,20,80,#F39700
駅,,,,,,,,滝川,滝川,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,21,81,#F39700
駅,,,,,,,,江部乙,江部乙,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,22,82,#F39700
駅,,,,,,,,妹背牛,妹背牛,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,23,83,#F39700
駅,,,,,,,,深川,深川,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,24,84,#F39700
駅,,,,,,,,納内,納内,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,25,85,#F39700
駅,,,,,,,,伊納,伊納,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,26,86,#F39700
駅,,,,,,,,近文,近文,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,27,87,#F39700
駅,,,,,,,,旭川,旭川,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,A,,28,88,#F39700
駅,,,,,,,,大沼,大沼,北海道旅客鉄道株式会社,函館本線,砂原支線,北海道旅客鉄道株式会社,函館本線,砂原支線,1,1,,H,,68,1,#0068B7
駅,,,,,,,,池田園,池田園,北海道旅客鉄道株式会社,函館本線,砂原支線,北海道旅客鉄道株式会社,函館本線,砂原支線,1,1,,N,,71,2,#0068B7
駅,,,,,,,,流山温泉,流山温泉,北海道旅客鉄道株式会社,函館本線,砂原支線,北海道旅客鉄道株式会社,函館本線,砂原支線,1,1,,N,,70,3,#0068B7
